FIR_ID,Crime_Type,Crime_Category,District,Police_Station,Latitude,Longitude,Date,Time,Victim_Age,Victim_Gender,Suspect_ID,Suspect_Age,Suspect_Gender,Previous_Offenses,Socio_Economic_Index,Investigation_Status,Crime_Severity,Financial_Loss,Risk_Level
FIR-2025-10010,Theft,Property Crimes,Chikkamagaluru,Rural PS,13.284827445465648,75.77685276929027,2024-11-02,11:16:15,45,Male,SUS-0201,34,Male,0,49,Chargesheeted,Medium,4923.56,Medium
FIR-2024-10011,Stalking,Crimes Against Women,Bengaluru Urban,Cubbon Park PS,12.948708505096228,77.61694781131688,2024-12-06,12:51:55,32,Female,SUS-0441,26,Male,0,77,Closed,Medium,0.0,Low
FIR-2026-10012,Tax Evasion,Economic Crimes,Ballari,Brucepet PS,15.154168696451107,76.85303213895267,2024-11-03,15:20:11,50,Other,SUS-0299,25,Male,0,43,Closed,High,180196.65,Medium
FIR-2026-10013,Domestic Violence,Crimes Against Women,Mangaluru,Kadri PS,12.934762281791993,74.89075193353221,2024-11-29,11:07:59,38,Female,SUS-0337,40,Male,1,76,Closed,Medium,0.0,Medium
FIR-2024-10014,Murder,Violent Crimes,Mysuru,Vidyaranyapuram PS,12.304524542201623,76.58432153382256,2025-12-26,09:53:44,34,Female,SUS-0419,35,Male,0,44,Closed,Medium,0.0,Medium
FIR-2025-10015,Tax Evasion,Economic Crimes,Kalaburagi,Chowk PS,17.31199330157427,76.79479680019338,2024-09-15,22:27:50,16,Male,SUS-0392,16,Male,0,32,Arrested,Medium,99006.74,Medium
FIR-2026-10016,Online Fraud,Cyber Crimes,Hubballi-Dharwad,Keshwapur PS,15.294371644933781,75.1139552866143,2025-07-10,11:44:57,24,Male,SUS-0088,33,Male,1,42,Under Investigation,Low,76185.88,Low
FIR-2026-10017,Stalking,Crimes Against Women,Ballari,Gandhinagar PS,15.142583181862262,76.94217041417431,2024-06-19,19:02:36,29,Female,SUS-0410,42,Male,0,34,Under Investigation,Low,0.0,Low
FIR-2025-10018,Harassment,Crimes Against Women,Shivamogga,Doddapet PS,13.914634756183471,75.59770502656421,2024-01-11,08:14:32,53,Female,SUS-0595,37,Male,0,46,Under Investigation,Medium,0.0,Medium
FIR-2025-10019,Stalking,Crimes Against Women,Mysuru,Vidyaranyapuram PS,12.243309616266986,76.64584463835425,2025-04-19,16:09:22,59,Female,SUS-0303,29,Male,2,73,Chargesheeted,High,0.0,Medium
FIR-2024-10020,Domestic Violence,Crimes Against Women,Bengaluru Urban,Indiranagar PS,12.986849786206484,77.59297575073286,2024-12-22,10:29:50,48,Female,SUS-0357,34,Male,0,54,Closed,Medium,0.0,Low
FIR-2026-10021,Theft,Property Crimes,Mangaluru,Barkur PS,12.90076740021968,74.82978375841581,2024-11-22,22:07:01,40,Female,SUS-0169,47,Male,0,75,Under Investigation,Medium,3937.88,Low
FIR-2026-10022,Harassment,Crimes Against Women,Shivamogga,Doddapet PS,13.974112276296145,75.57768224948974,2025-07-19,13:29:14,28,Female,SUS-0191,23,Male,0,52,Chargesheeted,Medium,0.0,Low
FIR-2024-10023,Extortion,Violent Crimes,Bengaluru Urban,Jayanagar PS,12.967829237169404,77.52026834047099,2024-07-21,18:27:24,30,Male,SUS-0211,31,Male,0,68,Closed,High,0.0,Medium
FIR-2024-10024,House Breaking,Property Crimes,Mangaluru,Pandeshwar PS,12.918925390435737,74.89776100517768,2026-03-29,06:29:07,18,Female,SUS-0502,28,Male,1,72,Chargesheeted,High,18709.04,Medium
FIR-2026-10025,Cyber Bullying,Cyber Crimes,Mangaluru,Barkur PS,12.925100091931672,74.9248106123542,2025-09-17,11:22:54,33,Male,SUS-0305,26,Male,0,70,Untraced,Low,137212.81,Low
FIR-2026-10026,Vehicle Theft,Property Crimes,Kalaburagi,Chowk PS,17.29265346946067,76.78592258684164,2024-11-16,03:11:23,49,Female,SUS-0281,37,Male,0,24,Chargesheeted,Medium,67602.37,Medium
FIR-2025-10027,Domestic Violence,Crimes Against Women,Bengaluru Urban,Cubbon Park PS,13.00474640486071,77.60162296339703,2024-07-09,20:34:44,23,Female,SUS-0178,35,Male,0,56,Closed,Medium,0.0,Low
FIR-2024-10028,Assault,Violent Crimes,Belagavi,Market PS,15.872980134177144,74.50563766114122,2024-11-18,11:00:31,32,Male,SUS-0274,34,Male,1,45,Chargesheeted,Medium,0.0,Medium
FIR-2025-10029,Drug Possession,Narcotics,Shivamogga,Kote PS,13.850815472821822,75.56387127901196,2025-12-02,14:31:10,45,Male,SUS-0226,26,Female,0,48,Chargesheeted,Medium,0.0,Medium
FIR-2026-10030,Money Laundering,Economic Crimes,Bengaluru Urban,Whitefield PS,12.989638912430069,77.65350521002652,2024-06-21,18:47:49,50,Male,SUS-0116,31,Male,1,44,Chargesheeted,High,152070.42,Medium
FIR-2026-10031,Online Fraud,Cyber Crimes,Bengaluru Urban,Whitefield PS,12.914016255686791,77.55770594683753,2025-07-09,14:34:13,26,Female,SUS-0523,35,Male,1,43,Chargesheeted,Low,21513.83,Low
FIR-2024-10032,Bribery,Economic Crimes,Hassan,Hassan Rural PS,13.021686670494644,76.12547825287889,2024-09-26,02:28:55,28,Male,SUS-0243,33,Male,0,62,Closed,Medium,223401.4,Medium
FIR-2026-10033,Hacking,Cyber Crimes,Bengaluru Urban,Whitefield PS,13.010186969587457,77.54301999721105,2026-05-31,05:39:08,33,Female,SUS-0061,17,Male,0,59,Under Investigation,Medium,142210.26,Medium
FIR-2026-10034,Drug Possession,Narcotics,Ballari,Cowlbazar PS,15.137338822472543,76.8890370935223,2024-06-21,22:18:18,27,Female,SUS-0368,42,Male,0,45,Chargesheeted,High,0.0,Medium
FIR-2024-10035,Domestic Violence,Crimes Against Women,Hubballi-Dharwad,Suburban PS,15.414035677296374,75.11665224134494,2026-02-07,08:55:41,42,Female,SUS-0136,16,Male,0,56,Chargesheeted,Medium,0.0,Low
FIR-2024-10036,House Breaking,Property Crimes,Bengaluru Urban,Cubbon Park PS,12.91270583753957,77.62395801913456,2025-05-16,08:40:26,33,Male,SUS-0096,24,Male,0,71,Closed,Low,38456.8,Low
FIR-2026-10037,Domestic Violence,Crimes Against Women,Ballari,Gandhinagar PS,15.10726262903315,76.93372885246336,2025-04-10,00:55:49,52,Female,SUS-0591,49,Other,0,44,Chargesheeted,Low,0.0,Low
FIR-2025-10038,Hacking,Cyber Crimes,Mysuru,Lashkar PS,12.382053985269172,76.62417221504819,2026-03-25,13:52:13,32,Male,SUS-0523,35,Male,1,59,Chargesheeted,Low,58467.07,Low
FIR-2024-10039,Vehicle Theft,Property Crimes,Hubballi-Dharwad,Keshwapur PS,15.34225643476076,75.1613101238362,2026-03-18,01:02:06,61,Male,SUS-0471,34,Male,0,62,Under Investigation,Low,20883.14,Low
FIR-2024-10040,Assault,Violent Crimes,Mysuru,Vidyaranyapuram PS,12.354457695647543,76.58303136807902,2025-04-12,13:12:44,54,Male,SUS-0310,37,Male,0,72,Arrested,High,0.0,Medium
FIR-2025-10041,Theft,Property Crimes,Mangaluru,Pandeshwar PS,12.851126331290722,74.7736335806523,2025-11-01,20:10:03,49,Female,SUS-0240,32,Male,1,53,Under Investigation,Medium,177856.14,Medium
FIR-2024-10042,Money Laundering,Economic Crimes,Bengaluru Urban,Koramangala PS,12.965131427352777,77.59713614043442,2024-08-06,02:08:37,33,Male,SUS-0456,36,Male,0,68,Arrested,High,129772.29,Medium
FIR-2024-10043,Tax Evasion,Economic Crimes,Mysuru,Vidyaranyapuram PS,12.273770988709112,76.64700892887379,2025-12-11,07:24:05,32,Female,SUS-0106,35,Male,0,70,Chargesheeted,Low,95317.05,Low
FIR-2024-10044,Murder,Violent Crimes,Hassan,Hassan Rural PS,12.939121551212498,76.1344285779146,2026-03-03,21:09:04,30,Female,SUS-0169,47,Male,0,61,Chargesheeted,High,0.0,Medium
FIR-2026-10045,Money Laundering,Economic Crimes,Bengaluru Urban,Indiranagar PS,12.938788376243773,77.57934820156781,2025-02-25,02:57:06,42,Male,SUS-0394,24,Male,0,53,Under Investigation,High,352746.43,Medium
FIR-2024-10046,Tax Evasion,Economic Crimes,Belagavi,Market PS,15.800619436908459,74.47050376413011,2024-10-10,17:38:38,25,Male,SUS-0028,28,Male,0,49,Chargesheeted,Medium,182081.73,Medium
FIR-2025-10047,Hacking,Cyber Crimes,Bengaluru Urban,Indiranagar PS,13.053205355439877,77.57265740197772,2025-06-14,23:25:18,34,Male,SUS-0579,21,Male,0,43,Chargesheeted,Low,127885.45,Low
FIR-2025-10048,Extortion,Violent Crimes,Kalaburagi,Chowk PS,17.30525659750093,76.82467102784044,2024-09-03,20:38:04,41,Male,SUS-0013,46,Male,0,48,Under Investigation,Medium,0.0,Medium
FIR-2024-10049,Money Laundering,Economic Crimes,Bengaluru Urban,Cubbon Park PS,12.974148094390632,77.61467600934803,2026-05-31,21:11:48,37,Female,SUS-0075,46,Male,0,33,Under Investigation,Medium,734970.18,Medium
FIR-2025-10050,Harassment,Crimes Against Women,Hassan,Hassan Central PS,13.000332802911421,76.09379785970513,2024-02-10,12:32:18,53,Female,SUS-0426,22,Male,0,52,Closed,Medium,0.0,Low
FIR-2026-10051,Theft,Property Crimes,Mysuru,Devaraja PS,12.322879763895003,76.65621074116225,2024-10-11,16:58:13,56,Male,SUS-0401,29,Male,0,66,Chargesheeted,High,31500.63,Medium
FIR-2026-10052,Tax Evasion,Economic Crimes,Bengaluru Urban,Koramangala PS,12.96952180916397,77.60585393389958,2024-11-13,01:15:05,29,Male,SUS-0411,16,Male,0,47,Under Investigation,Low,77705.82,Low
FIR-2026-10053,Theft,Property Crimes,Bengaluru Urban,Indiranagar PS,13.022570890349375,77.55449817470442,2024-05-02,22:08:44,55,Female,SUS-0257,48,Male,1,73,Chargesheeted,Medium,45546.14,Medium
FIR-2026-10054,Vehicle Theft,Property Crimes,Bengaluru Urban,Whitefield PS,12.982956442349456,77.59431748381796,2024-06-19,04:47:49,51,Male,SUS-0121,23,Male,0,31,Closed,Low,14837.62,Low
FIR-2025-10055,Assault,Violent Crimes,Hubballi-Dharwad,Town PS,15.333675745542495,75.12270074600232,2025-06-20,18:40:04,34,Other,SUS-0369,30,Male,0,60,Chargesheeted,Medium,0.0,Low
FIR-2024-10056,Kidnapping,Violent Crimes,Bengaluru Urban,Whitefield PS,12.970696086678204,77.6341919738371,2024-06-10,03:57:36,45,Male,SUS-0234,27,Female,0,30,Chargesheeted,High,0.0,Medium
FIR-2024-10057,Robbery,Property Crimes,Davanagere,Extension PS,14.458466112847686,75.95168564928107,2024-02-17,11:24:58,41,Male,SUS-0557,38,Male,0,55,Untraced,Medium,8568.83,Low
FIR-2026-10058,Vehicle Theft,Property Crimes,Mysuru,Vidyaranyapuram PS,12.358116217292734,76.67910512411918,2024-08-17,07:26:58,23,Male,SUS-0080,32,Male,0,44,Chargesheeted,Low,9338.8,Low
FIR-2026-10059,Harassment,Crimes Against Women,Bengaluru Urban,Koramangala PS,12.998718798835862,77.59199446657084,2024-07-02,16:02:25,44,Female,SUS-0290,40,Male,0,47,Under Investigation,Medium,0.0,Medium
FIR-2024-10060,Drug Possession,Narcotics,Mangaluru,Barkur PS,12.93789417493589,74.83147152430095,2024-01-09,06:18:36,39,Male,SUS-0249,52,Male,1,70,Arrested,High,0.0,Medium
FIR-2025-10061,Cyber Bullying,Cyber Crimes,Belagavi,Market PS,15.850659200760624,74.46767492712092,2026-01-20,00:14:34,33,Male,SUS-0010,16,Male,0,30,Closed,Low,18015.98,Low
FIR-2026-10062,Hacking,Cyber Crimes,Bengaluru Urban,Cubbon Park PS,12.925404238553366,77.54327712041078,2026-05-19,07:26:31,32,Male,SUS-0146,30,Male,1,35,Closed,Low,10311.29,Low
FIR-2024-10063,Vehicle Theft,Property Crimes,Bengaluru Urban,Jayanagar PS,12.986185054157682,77.63152179308906,2025-02-26,23:05:37,43,Male,SUS-0404,43,Male,0,61,Chargesheeted,High,10508.61,Medium
FIR-2025-10064,Kidnapping,Violent Crimes,Bengaluru Urban,Indiranagar PS,12.950607312148286,77.61079462771855,2024-08-30,08:54:20,54,Female,SUS-0335,32,Male,0,44,Under Investigation,High,0.0,Medium
FIR-2024-10065,Theft,Property Crimes,Kalaburagi,Chowk PS,17.272063089284725,76.84558027947024,2024-05-19,04:06:10,33,Male,SUS-0417,33,Male,0,30,Closed,Medium,3057.8,Medium
FIR-2024-10066,Harassment,Crimes Against Women,Belagavi,Khade Bazar PS,15.7929226721382,74.46340230281811,2024-11-11,02:10:51,41,Female,SUS-0042,45,Other,0,55,Arrested,Medium,0.0,Low
FIR-2024-10067,Murder,Violent Crimes,Hubballi-Dharwad,Gokul Road PS,15.437323099263802,75.12512542048805,2025-12-29,12:32:03,76,Male,SUS-0547,38,Male,0,35,Under Investigation,High,0.0,Medium
FIR-2025-10068,Online Fraud,Cyber Crimes,Ballari,Gandhinagar PS,15.162042862292399,76.91899683228414,2025-07-23,04:07:00,40,Female,SUS-0228,50,Other,1,49,Arrested,Low,145579.81,Low
FIR-2025-10069,Assault,Violent Crimes,Davanagere,KTJ Nagar PS,14.483040729200535,75.87740999488447,2025-10-07,08:58:52,42,Male,SUS-0034,38,Female,1,51,Chargesheeted,High,0.0,Medium
FIR-2024-10070,Cyber Bullying,Cyber Crimes,Mangaluru,Pandeshwar PS,12.851501044262328,74.83196451296584,2026-05-17,01:10:59,49,Male,SUS-0405,37,Male,0,63,Under Investigation,Low,291164.42,Low
FIR-2025-10071,House Breaking,Property Crimes,Ballari,Brucepet PS,15.152812690255892,76.97848035610797,2024-12-28,05:17:17,43,Female,SUS-0036,41,Male,0,43,Chargesheeted,Medium,7521.87,Medium
FIR-2026-10072,Extortion,Violent Crimes,Bengaluru Urban,Whitefield PS,13.008952417043,77.6147292953813,2025-05-25,15:03:05,49,Female,SUS-0430,41,Female,0,78,Untraced,Medium,0.0,Low
FIR-2026-10073,Theft,Property Crimes,Bengaluru Urban,Indiranagar PS,12.919138241358521,77.60089386270693,2025-10-07,22:22:30,51,Female,SUS-0353,36,Male,0,57,Chargesheeted,Low,17120.14,Low
FIR-2025-10074,Financial Fraud,Economic Crimes,Bengaluru Urban,Whitefield PS,12.998162118132225,77.57420669933992,2024-07-03,10:38:14,31,Female,SUS-0288,21,Male,1,84,Under Investigation,High,116349.43,Medium
FIR-2026-10075,Substance Abuse,Narcotics,Bengaluru Urban,Whitefield PS,12.958985832878774,77.55102629449152,2026-02-24,05:06:15,53,Female,SUS-0382,20,Male,3,80,Under Investigation,High,0.0,High
FIR-2024-10076,Robbery,Property Crimes,Hubballi-Dharwad,Suburban PS,15.332439614838975,75.10563118408042,2025-08-12,05:11:15,14,Male,SUS-0368,42,Male,0,35,Under Investigation,High,58458.19,Medium
FIR-2026-10077,House Breaking,Property Crimes,Tumakuru,Town PS,13.313870082774457,77.08841443133484,2025-08-04,06:53:51,51,Male,SUS-0180,26,Female,0,37,Under Investigation,Medium,33058.75,Medium
FIR-2024-10078,Theft,Property Crimes,Bengaluru Urban,Jayanagar PS,13.01259096449127,77.64134321457094,2024-08-12,16:30:00,22,Male,SUS-0207,24,Male,0,48,Under Investigation,Medium,19757.68,Medium
FIR-2024-10079,Online Fraud,Cyber Crimes,Bengaluru Urban,Whitefield PS,13.024980245333515,77.57859501661125,2024-03-01,04:37:45,45,Female,SUS-0539,47,Male,0,82,Under Investigation,Low,44995.54,Low
FIR-2025-10080,Drug Trafficking,Narcotics,Mysuru,Vidyaranyapuram PS,12.323270962820134,76.61372714384223,2025-08-23,10:08:10,25,Male,SUS-0499,47,Male,0,46,Under Investigation,High,0.0,Medium
FIR-2026-10081,Bribery,Economic Crimes,Tumakuru,New Extension PS,13.322508319055837,77.13952968712172,2025-09-20,18:52:11,66,Female,SUS-0302,23,Male,2,56,Closed,Low,12501.66,Medium
FIR-2026-10082,Hacking,Cyber Crimes,Bengaluru Urban,Jayanagar PS,12.923500652056749,77.65457106336068,2025-02-04,10:58:51,32,Female,SUS-0334,21,Female,0,57,Untraced,Low,18728.45,Low
FIR-2025-10083,Kidnapping,Violent Crimes,Hubballi-Dharwad,Gokul Road PS,15.397581680157156,75.11120370887988,2024-08-31,10:10:40,57,Other,SUS-0344,23,Male,0,42,Chargesheeted,High,0.0,Medium
FIR-2024-10084,Phishing,Cyber Crimes,Bengaluru Urban,Koramangala PS,12.927221777782151,77.66310845645106,2024-12-24,03:46:00,21,Female,SUS-0430,41,Female,0,78,Under Investigation,Low,89737.07,Low
FIR-2025-10085,Extortion,Violent Crimes,Bengaluru Urban,Cubbon Park PS,12.989507850655801,77.56070743888596,2024-12-25,03:53:30,31,Female,SUS-0231,18,Female,1,34,Chargesheeted,Medium,0.0,Medium
FIR-2024-10086,Vehicle Theft,Property Crimes,Chikkamagaluru,Rural PS,13.341195682963347,75.76784321954085,2024-01-21,08:06:04,41,Male,SUS-0278,26,Male,0,47,Chargesheeted,High,42193.07,Medium
FIR-2024-10087,Robbery,Property Crimes,Hassan,Hassan Rural PS,12.97295065351214,76.05790691964275,2025-08-31,13:41:10,37,Female,SUS-0161,48,Male,0,49,Chargesheeted,Medium,31286.37,Medium
FIR-2024-10088,Kidnapping,Violent Crimes,Bengaluru Urban,Cubbon Park PS,13.006084415807585,77.60702468913864,2025-12-14,09:15:06,49,Female,SUS-0563,33,Male,0,38,Arrested,High,0.0,Medium
FIR-2025-10089,Online Fraud,Cyber Crimes,Tumakuru,Kyathsandra PS,13.292483261791885,77.14625890976278,2025-03-13,21:40:38,50,Female,SUS-0020,21,Male,1,54,Under Investigation,Medium,278677.33,Medium
FIR-2024-10090,Online Fraud,Cyber Crimes,Mangaluru,Barkur PS,12.845342783481845,74.89787818137712,2026-05-14,12:30:31,26,Male,SUS-0393,17,Male,0,56,Closed,Medium,202280.6,Medium
FIR-2025-10091,Robbery,Property Crimes,Ballari,Gandhinagar PS,15.130016838815232,76.90078014755888,2024-07-10,01:16:28,46,Male,SUS-0533,27,Male,0,26,Closed,Medium,119196.73,Medium
FIR-2026-10092,Vehicle Theft,Property Crimes,Mysuru,Lashkar PS,12.30828248526907,76.67373081720727,2024-03-28,17:26:48,30,Male,SUS-0032,28,Male,2,68,Chargesheeted,Medium,33627.17,Medium
FIR-2025-10093,House Breaking,Property Crimes,Hubballi-Dharwad,Keshwapur PS,15.436761136313287,75.02485853136584,2025-08-09,02:25:57,9,Female,SUS-0382,20,Male,3,59,Chargesheeted,High,38017.75,High
FIR-2026-10094,Domestic Violence,Crimes Against Women,Hubballi-Dharwad,Suburban PS,15.329106209162353,75.0855688176702,2024-05-03,05:10:13,28,Female,SUS-0516,43,Male,1,55,Under Investigation,Low,0.0,Low
FIR-2024-10095,Substance Abuse,Narcotics,Belagavi,Camp PS,15.858954492973652,74.55277543544703,2024-05-31,08:20:58,48,Female,SUS-0069,32,Male,0,46,Under Investigation,High,0.0,Medium
FIR-2026-10096,Domestic Violence,Crimes Against Women,Bengaluru Urban,Whitefield PS,12.943888440491602,77.54365028458537,2026-05-27,00:50:44,60,Female,SUS-0430,41,Female,0,38,Chargesheeted,Low,0.0,Low
FIR-2026-10097,Financial Fraud,Economic Crimes,Bengaluru Urban,Jayanagar PS,12.991645171042583,77.5971353357055,2025-08-19,18:49:06,27,Male,SUS-0353,36,Male,0,44,Chargesheeted,High,259636.21,Medium
FIR-2026-10098,Phishing,Cyber Crimes,Bengaluru Urban,Cubbon Park PS,12.948429095308462,77.65409519228066,2025-08-08,12:09:39,21,Female,SUS-0412,38,Male,0,78,Under Investigation,Medium,99575.6,Low
FIR-2025-10099,Theft,Property Crimes,Belagavi,Camp PS,15.837220540637187,74.44998106515924,2024-08-31,23:30:58,32,Male,SUS-0021,40,Male,0,53,Under Investigation,Medium,11640.95,Low
FIR-2025-10100,Drug Possession,Narcotics,Bengaluru Urban,Whitefield PS,12.972314884258708,77.58563162912824,2026-05-13,21:06:55,60,Male,SUS-0535,33,Male,0,75,Chargesheeted,High,0.0,Medium
FIR-2025-10101,Financial Fraud,Economic Crimes,Belagavi,Camp PS,15.889873517745668,74.5377561164092,2025-03-02,06:58:52,31,Male,SUS-0529,34,Male,1,54,Under Investigation,Low,21177.43,Low
FIR-2026-10102,Vehicle Theft,Property Crimes,Hassan,Hassan Central PS,12.982904757558195,76.10701672187784,2024-03-08,22:32:25,52,Female,SUS-0537,26,Male,0,40,Chargesheeted,Medium,12285.35,Medium
FIR-2024-10103,Theft,Property Crimes,Bengaluru Urban,Indiranagar PS,12.940333117106125,77.57045250912812,2026-05-07,14:03:58,58,Male,SUS-0281,37,Male,0,55,Arrested,Low,41823.49,Low
FIR-2025-10104,Assault,Violent Crimes,Belagavi,Camp PS,15.82110770964034,74.56948099393568,2024-05-06,07:23:31,57,Female,SUS-0486,29,Male,0,40,Chargesheeted,High,0.0,Medium
FIR-2024-10105,Online Fraud,Cyber Crimes,Mysuru,Krishnaraja PS,12.298391654004934,76.64921994727177,2026-02-05,12:03:10,34,Male,SUS-0220,36,Male,0,62,Chargesheeted,Medium,28968.36,Low
FIR-2026-10106,Substance Abuse,Narcotics,Ballari,Brucepet PS,15.111363014713259,76.9387031728834,2024-10-02,00:55:49,35,Male,SUS-0076,17,Female,0,43,Under Investigation,Medium,0.0,Medium
FIR-2024-10107,Kidnapping,Violent Crimes,Bengaluru Urban,Indiranagar PS,13.028122433740162,77.61384686230316,2024-09-15,22:45:41,24,Male,SUS-0386,30,Male,0,55,Under Investigation,Medium,0.0,Low
FIR-2024-10108,Hacking,Cyber Crimes,Belagavi,Khade Bazar PS,15.884394135156755,74.53761511263177,2024-11-05,12:37:06,41,Female,SUS-0384,32,Female,0,47,Arrested,Medium,138472.65,Medium
FIR-2025-10109,Theft,Property Crimes,Davanagere,Gandhinagar PS,14.487045532348494,75.85092413271015,2025-12-01,10:17:40,46,Male,SUS-0268,24,Male,0,58,Chargesheeted,Medium,8581.41,Low
FIR-2026-10110,Murder,Violent Crimes,Tumakuru,Town PS,13.27533180394612,77.10981404781437,2024-07-11,16:48:15,49,Female,SUS-0414,48,Male,1,55,Chargesheeted,High,0.0,Medium
FIR-2026-10111,Bribery,Economic Crimes,Belagavi,Market PS,15.89737823870572,74.48388338303744,2025-11-02,13:25:24,35,Male,SUS-0460,42,Female,2,54,Under Investigation,Low,14303.9,Medium
FIR-2025-10112,Robbery,Property Crimes,Hubballi-Dharwad,Suburban PS,15.40421446329626,75.14236816726398,2025-12-03,21:22:32,28,Female,SUS-0572,31,Male,2,37,Under Investigation,Medium,39762.27,Medium
FIR-2024-10113,Murder,Violent Crimes,Mangaluru,Urwa PS,12.87096739733483,74.91101838710672,2026-01-12,10:41:05,46,Female,SUS-0315,25,Male,0,81,Arrested,Medium,0.0,Low
FIR-2025-10114,Bribery,Economic Crimes,Ballari,Gandhinagar PS,15.193831454219167,76.88618735299968,2025-08-22,03:30:03,29,Male,SUS-0073,43,Female,0,30,Chargesheeted,Medium,39452.39,Medium
FIR-2024-10115,Bribery,Economic Crimes,Mangaluru,Barkur PS,12.823703945301661,74.85145372630004,2025-06-26,04:08:12,60,Female,SUS-0584,41,Male,1,84,Under Investigation,Low,53226.94,Low
FIR-2024-10116,House Breaking,Property Crimes,Bengaluru Urban,Whitefield PS,12.97035457846739,77.60796795772687,2026-06-02,15:21:40,44,Male,SUS-0060,34,Male,0,45,Untraced,High,22353.18,Medium
FIR-2024-10117,Tax Evasion,Economic Crimes,Tumakuru,New Extension PS,13.316046949427523,77.11422538371986,2026-02-21,02:08:39,56,Male,SUS-0414,48,Male,1,49,Chargesheeted,Low,18969.88,Low
FIR-2024-10118,House Breaking,Property Crimes,Belagavi,Market PS,15.828401640637264,74.52402270302227,2025-06-30,00:57:20,15,Male,SUS-0447,39,Male,0,52,Chargesheeted,Low,15140.74,Low
FIR-2024-10119,Phishing,Cyber Crimes,Belagavi,Camp PS,15.878581078334259,74.51661260279711,2024-12-18,04:06:24,8,Female,SUS-0172,37,Male,1,31,Under Investigation,Medium,80578.17,Medium
FIR-2025-10120,Hacking,Cyber Crimes,Bengaluru Urban,Cubbon Park PS,12.995944086557223,77.56659940659627,2026-01-15,10:27:56,33,Male,SUS-0351,39,Male,0,56,Under Investigation,Low,42383.62,Low
FIR-2024-10121,Identity Theft,Cyber Crimes,Belagavi,Market PS,15.817674353421925,74.53841828209717,2026-04-11,23:08:13,19,Male,SUS-0296,51,Male,2,40,Under Investigation,Medium,30256.11,Medium
FIR-2026-10122,Phishing,Cyber Crimes,Mysuru,Lashkar PS,12.239089352274844,76.72970514185657,2025-01-19,19:03:38,40,Male,SUS-0021,40,Male,0,44,Arrested,Low,12010.6,Low
FIR-2025-10123,Substance Abuse,Narcotics,Belagavi,Khade Bazar PS,15.84627586670749,74.47942032664699,2024-05-06,08:30:44,18,Male,SUS-0494,43,Male,2,39,Under Investigation,Medium,0.0,Medium
FIR-2026-10124,Murder,Violent Crimes,Bengaluru Urban,Koramangala PS,12.991701849858167,77.64308362877291,2025-11-09,03:32:46,41,Male,SUS-0085,40,Female,1,57,Chargesheeted,High,0.0,Medium
FIR-2026-10125,Vehicle Theft,Property Crimes,Belagavi,Market PS,15.845617744374847,74.55847345404362,2026-03-07,06:22:45,39,Male,SUS-0025,39,Male,0,57,Chargesheeted,Medium,44769.37,Low
